site-category,name,entry-date,start-date,end-date,slug
deliverable,Deliverable,2017-04-16,2017-04-16,,/site-category/deliverable
hazardous-substances,Hazardous substances,2017-04-16,2017-04-16,,/site-category/hazardous-substances
planning-permission-status,Planning permission status,2017-04-16,2017-04-16,,/site-category/planning-permission-status
planning-permission-type,Planning permission type,2017-04-16,2017-04-16,,/site-category/planning-permission-type
